,代码,名称,接待机构数量,接待日期,公告日期
8736,688192,迪哲医药,1,2023-04-24,2023-04-24
8737,688553,汇宇制药,1,2023-04-24,2023-04-24
8738,300363,博腾股份,1,2023-04-22,2023-04-24
8739,002702,海欣食品,1,2023-04-21,2023-04-24
8740,300057,万顺新材,1,2023-04-21,2023-04-24
8741,300865,大宏立,1,2023-04-21,2023-04-24
8742,301277,新天地,1,2023-04-21,2023-04-24
8743,430418,苏轴股份,1,2023-04-21,2023-04-24
8744,601107,四川成渝,1,2023-04-21,2023-04-24
8745,688009,中国通号,1,2023-04-21,2023-04-24
8746,832089,禾昌聚合,1,2023-04-21,2023-04-24
8747,834062,科润智控,1,2023-04-21,2023-04-24
8748,834682,球冠电缆,1,2023-04-21,2023-04-24
8749,835185,贝特瑞,1,2023-04-21,2023-04-24
8750,836675,秉扬科技,1,2023-04-21,2023-04-24
8751,836942,恒立钻具,1,2023-04-21,2023-04-24
8752,839725,惠丰钻石,1,2023-04-21,2023-04-24
8753,000089,深圳机场,1,2023-04-20,2023-04-24
8754,832662,方盛股份,1,2023-04-20,2023-04-24
8755,000001,平安银行,1,2023-03-23,2023-04-24
8756,000001,平安银行,1,2023-03-09,2023-04-24
8757,000001,平安银行,1,2023-02-07,2023-04-24
8758,000001,平安银行,1,2023-01-11,2023-04-24
8759,002557,洽洽食品,275,2023-04-21,2023-04-23
8760,000963,华东医药,241,2023-04-21,2023-04-23
8761,002439,启明星辰,199,2023-04-20,2023-04-23
8762,000821,京山轻机,172,2023-04-23,2023-04-23
8763,002353,杰瑞股份,97,2023-04-21,2023-04-23
8764,002649,博彦科技,86,2023-04-20,2023-04-23
8765,000301,东方盛虹,81,2023-04-21,2023-04-23
8766,300945,曼卡龙,62,2023-04-20,2023-04-23
8767,000028,国药一致,57,2023-04-20,2023-04-23
8768,000672,上峰水泥,51,2023-04-20,2023-04-23
8769,300846,首都在线,50,2023-04-22,2023-04-23
8770,002539,云图控股,43,2023-04-20,2023-04-23
8771,000409,云鼎科技,34,2023-04-21,2023-04-23
8772,300681,英搏尔,33,2023-04-21,2023-04-23
8773,002896,中大力德,25,2023-04-20,2023-04-23
8774,300952,恒辉安防,17,2023-04-21,2023-04-23
8775,002847,盐津铺子,13,2023-04-21,2023-04-23
8776,002270,华明装备,12,2023-04-18,2023-04-23
8777,003028,振邦智能,5,2023-04-20,2023-04-23
8778,300453,三鑫医疗,3,2023-04-18,2023-04-23
8779,000301,东方盛虹,1,2023-04-23,2023-04-23
8780,000833,粤桂股份,1,2023-04-21,2023-04-23
8781,002063,远光软件,1,2023-04-21,2023-04-23
8782,002317,众生药业,1,2023-04-21,2023-04-23
8783,002334,英威腾,1,2023-04-21,2023-04-23
8784,002455,百川股份,1,2023-04-21,2023-04-23
8785,002669,康达新材,1,2023-04-21,2023-04-23
8786,300100,双林股份,1,2023-04-21,2023-04-23
8787,300613,富瀚微,1,2023-04-21,2023-04-23
8788,300721,怡达股份,1,2023-04-21,2023-04-23
8789,300759,康龙化成,1,2023-04-21,2023-04-23
8790,002472,双环传动,306,2023-04-20,2023-04-22
8791,301108,洁雅股份,50,2023-04-20,2023-04-22
8792,001322,箭牌家居,11,2023-04-17,2023-04-22
8793,300956,英力股份,1,2023-04-21,2023-04-22
8794,688005,容百科技,371,2023-04-20,2023-04-21
8795,688018,乐鑫科技,235,2023-03-20,2023-04-21
8796,300396,迪瑞医疗,201,2023-04-18,2023-04-21
8797,000703,恒逸石化,165,2023-04-20,2023-04-21
8798,002334,英威腾,142,2023-04-19,2023-04-21
8799,002293,罗莱生活,125,2023-04-20,2023-04-21
8800,002230,科大讯飞,108,2023-04-20,2023-04-21
8801,605338,巴比食品,107,2023-04-20,2023-04-21
8802,603309,维力医疗,106,2023-04-20,2023-04-21
8803,002903,宇环数控,79,2023-04-20,2023-04-21
8804,688217,睿昂基因,78,2023-04-11,2023-04-21
8805,002009,天奇股份,64,2023-04-18,2023-04-21
8806,000902,新洋丰,56,2023-04-17,2023-04-21
8807,002511,中顺洁柔,52,2023-04-19,2023-04-21
8808,002438,江苏神通,40,2023-04-18,2023-04-21
8809,688630,芯碁微装,39,2023-04-20,2023-04-21
8810,600549,厦门钨业,38,2023-03-02,2023-04-21
8811,300624,万兴科技,33,2023-04-20,2023-04-21
8812,688553,汇宇制药,16,2023-04-20,2023-04-21
8813,300100,双林股份,12,2023-04-20,2023-04-21
8814,601117,中国化学,10,2023-03-11,2023-04-21
8815,688778,厦钨新能,10,2023-03-01,2023-04-21
8816,002334,英威腾,9,2023-04-20,2023-04-21
8817,301373,凌玮科技,9,2023-04-20,2023-04-21
8818,300337,银邦股份,8,2023-04-21,2023-04-21
8819,002985,北摩高科,6,2023-04-20,2023-04-21
8820,300058,蓝色光标,5,2023-04-20,2023-04-21
8821,000521,长虹美菱,4,2023-04-21,2023-04-21
8822,003020,立方制药,4,2023-04-21,2023-04-21
8823,300352,北信源,4,2023-04-19,2023-04-21
8824,301215,中汽股份,4,2023-04-19,2023-04-21
8825,003020,立方制药,3,2023-04-20,2023-04-21
8826,000338,潍柴动力,3,2023-04-19,2023-04-21
8827,300025,华星创业,2,2023-04-19,2023-04-21
8828,300200,高盟新材,2,2023-04-19,2023-04-21
8829,000417,合肥百货,1,2023-04-21,2023-04-21
8830,000551,创元科技,1,2023-04-21,2023-04-21
8831,000661,长春高新,1,2023-04-21,2023-04-21
8832,000922,佳电股份,1,2023-04-21,2023-04-21
8833,001225,和泰机电,1,2023-04-21,2023-04-21
8834,001314,亿道信息,1,2023-04-21,2023-04-21
8835,002034,旺能环境,1,2023-04-21,2023-04-21
8836,002083,孚日股份,1,2023-04-21,2023-04-21
8837,002112,三变科技,1,2023-04-21,2023-04-21
8838,002167,东方锆业,1,2023-04-21,2023-04-21
8839,002241,歌尔股份,1,2023-04-21,2023-04-21
8840,002271,东方雨虹,1,2023-04-21,2023-04-21
8841,002334,英威腾,1,2023-04-21,2023-04-21
8842,002391,长青股份,1,2023-04-21,2023-04-21
8843,002474,榕基软件,1,2023-04-21,2023-04-21
8844,002572,索菲亚,1,2023-04-21,2023-04-21
8845,002715,登云股份,1,2023-04-21,2023-04-21
8846,002783,凯龙股份,1,2023-04-21,2023-04-21
8847,002850,科达利,1,2023-04-21,2023-04-21
8848,002886,沃特股份,1,2023-04-21,2023-04-21
8849,002893,京能热力,1,2023-04-21,2023-04-21
8850,300062,中能电气,1,2023-04-21,2023-04-21
8851,300105,龙源技术,1,2023-04-21,2023-04-21
8852,300692,中环环保,1,2023-04-21,2023-04-21
8853,300701,森霸传感,1,2023-04-21,2023-04-21
8854,300739,明阳电路,1,2023-04-21,2023-04-21
8855,301005,超捷股份,1,2023-04-21,2023-04-21
8856,301113,雅艺科技,1,2023-04-21,2023-04-21
8857,301298,东利机械,1,2023-04-21,2023-04-21
8858,000338,潍柴动力,1,2023-04-20,2023-04-21
8859,000539,粤电力A,1,2023-04-20,2023-04-21
8860,001337,四川黄金,1,2023-04-20,2023-04-21
8861,002130,沃尔核材,1,2023-04-20,2023-04-21
8862,002254,泰和新材,1,2023-04-20,2023-04-21
8863,002521,齐峰新材,1,2023-04-20,2023-04-21
8864,002546,新联电子,1,2023-04-20,2023-04-21
8865,002563,森马服饰,1,2023-04-20,2023-04-21
8866,002695,煌上煌,1,2023-04-20,2023-04-21
8867,002940,昂利康,1,2023-04-20,2023-04-21
8868,300070,碧水源,1,2023-04-20,2023-04-21
8869,300234,开尔新材,1,2023-04-20,2023-04-21
8870,300266,兴源环境,1,2023-04-20,2023-04-21
8871,300516,久之洋,1,2023-04-20,2023-04-21
8872,300750,宁德时代,1,2023-04-20,2023-04-21
8873,301067,显盈科技,1,2023-04-20,2023-04-21
8874,301122,采纳股份,1,2023-04-20,2023-04-21
8875,600218,全柴动力,1,2023-04-20,2023-04-21
8876,605100,华丰股份,1,2023-04-20,2023-04-21
8877,831039,国义招标,1,2023-04-20,2023-04-21
8878,831305,海希通讯,1,2023-04-20,2023-04-21
8879,833819,颖泰生物,1,2023-04-20,2023-04-21
8880,835174,五新隧装,1,2023-04-20,2023-04-21
8881,837212,智新电子,1,2023-04-20,2023-04-21
8882,838030,德众汽车,1,2023-04-20,2023-04-21
8883,838171,邦德股份,1,2023-04-20,2023-04-21
8884,870199,倍益康,1,2023-04-20,2023-04-21
8885,871642,通易航天,1,2023-04-20,2023-04-21
8886,002180,纳思达,1,2023-04-19,2023-04-21
8887,300675,建科院,1,2023-04-19,2023-04-21
8888,000516,国际医学,250,2023-04-19,2023-04-20
8889,300075,数字政通,206,2023-04-19,2023-04-20
8890,688358,祥生医疗,190,2023-04-19,2023-04-20
8891,300996,普联软件,148,2023-04-16,2023-04-20
8892,000988,华工科技,111,2023-04-18,2023-04-20
8893,873593,鼎智科技,57,2023-04-18,2023-04-20
8894,003020,立方制药,55,2023-04-18,2023-04-20
8895,300839,博汇股份,54,2023-04-18,2023-04-20
8896,002123,梦网科技,51,2023-04-18,2023-04-20
8897,603506,南都物业,40,2023-02-08,2023-04-20
8898,301039,中集车辆,31,2023-04-06,2023-04-20
8899,002373,千方科技,29,2023-04-20,2023-04-20
8900,301039,中集车辆,22,2023-04-13,2023-04-20
8901,000713,丰乐种业,21,2023-04-20,2023-04-20
8902,301000,肇民科技,20,2023-04-09,2023-04-20
8903,002643,万润股份,19,2023-04-20,2023-04-20
8904,601969,海南矿业,19,2023-03-30,2023-04-20
8905,000521,长虹美菱,12,2023-04-20,2023-04-20
8906,300582,英飞特,12,2023-04-18,2023-04-20
8907,301039,中集车辆,12,2023-04-12,2023-04-20
8908,300755,华致酒行,9,2023-04-19,2023-04-20
8909,301091,深城交,9,2023-04-19,2023-04-20
8910,300235,方直科技,8,2023-04-19,2023-04-20
8911,300229,拓尔思,6,2023-04-19,2023-04-20
8912,301068,大地海洋,6,2023-04-19,2023-04-20
8913,688385,复旦微电,6,2023-04-06,2023-04-20
8914,300540,蜀道装备,5,2023-04-19,2023-04-20
8915,002469,三维化学,4,2023-04-19,2023-04-20
8916,301000,肇民科技,4,2023-04-14,2023-04-20
8917,001215,千味央厨,2,2023-04-19,2023-04-20
8918,002419,天虹股份,2,2023-04-19,2023-04-20
8919,000510,新金路,1,2023-04-20,2023-04-20
8920,000570,苏常柴A,1,2023-04-20,2023-04-20
8921,000791,甘肃能源,1,2023-04-20,2023-04-20
8922,002090,金智科技,1,2023-04-20,2023-04-20
8923,002490,山东墨龙,1,2023-04-20,2023-04-20
8924,002562,兄弟科技,1,2023-04-20,2023-04-20
8925,002660,茂硕电源,1,2023-04-20,2023-04-20
8926,002870,香山股份,1,2023-04-20,2023-04-20
8927,002983,芯瑞达,1,2023-04-20,2023-04-20
8928,300226,上海钢联,1,2023-04-20,2023-04-20
8929,300298,三诺生物,1,2023-04-20,2023-04-20
8930,300579,数字认证,1,2023-04-20,2023-04-20
8931,300639,凯普生物,1,2023-04-20,2023-04-20
8932,300717,华信新材,1,2023-04-20,2023-04-20
8933,300755,华致酒行,1,2023-04-20,2023-04-20
8934,300785,值得买,1,2023-04-20,2023-04-20
8935,300997,欢乐家,1,2023-04-20,2023-04-20
8936,301181,标榜股份,1,2023-04-20,2023-04-20
8937,600558,大西洋,1,2023-04-20,2023-04-20
8938,605366,宏柏新材,1,2023-04-20,2023-04-20
8939,001286,陕西能源,1,2023-04-19,2023-04-20
8940,002079,苏州固锝,1,2023-04-19,2023-04-20
8941,002140,东华科技,1,2023-04-19,2023-04-20
8942,002254,泰和新材,1,2023-04-19,2023-04-20
8943,002300,太阳电缆,1,2023-04-19,2023-04-20
8944,002624,完美世界,1,2023-04-19,2023-04-20
8945,002635,安洁科技,1,2023-04-19,2023-04-20
8946,002722,物产金轮,1,2023-04-19,2023-04-20
8947,002903,宇环数控,1,2023-04-19,2023-04-20
8948,300160,秀强股份,1,2023-04-19,2023-04-20
8949,300570,太辰光,1,2023-04-19,2023-04-20
8950,300870,欧陆通,1,2023-04-19,2023-04-20
8951,300922,天秦装备,1,2023-04-19,2023-04-20
8952,688291,金橙子,1,2023-04-19,2023-04-20
8953,000538,云南白药,1,2023-04-18,2023-04-20
8954,002667,威领股份,1,2023-04-18,2023-04-20
8955,601236,红塔证券,1,2023-04-18,2023-04-20
8956,002709,天赐材料,295,2023-04-18,2023-04-19
8957,301363,美好医疗,208,2023-04-18,2023-04-19
8958,000739,普洛药业,155,2023-04-18,2023-04-19
8959,003006,百亚股份,132,2023-04-18,2023-04-19
8960,300613,富瀚微,112,2023-04-17,2023-04-19
8961,000915,华特达因,100,2023-04-17,2023-04-19
8962,002219,新里程,92,2023-04-16,2023-04-19
8963,002803,吉宏股份,83,2023-04-19,2023-04-19
8964,301236,软通动力,81,2023-02-15,2023-04-19
8965,301055,张小泉,56,2023-04-18,2023-04-19
8966,301039,中集车辆,56,2023-03-28,2023-04-19
8967,300639,凯普生物,35,2023-04-18,2023-04-19
8968,002697,红旗连锁,28,2023-04-19,2023-04-19
8969,301373,凌玮科技,24,2023-04-18,2023-04-19
8970,688282,理工导航,21,2023-03-06,2023-04-19
8971,300021,大禹节水,18,2023-04-18,2023-04-19
8972,300352,北信源,17,2023-04-18,2023-04-19
8973,002859,洁美科技,12,2023-04-18,2023-04-19
8974,301039,中集车辆,11,2023-03-29,2023-04-19
8975,300678,中科信息,7,2023-04-18,2023-04-19
8976,002541,鸿路钢构,7,2023-04-17,2023-04-19
8977,688201,信安世纪,7,2023-03-07,2023-04-19
8978,834062,科润智控,6,2023-04-18,2023-04-19
8979,002947,恒铭达,6,2023-04-14,2023-04-19
8980,688201,信安世纪,6,2023-03-02,2023-04-19
8981,603100,川仪股份,6,2023-03-01,2023-04-19
8982,688282,理工导航,4,2023-04-13,2023-04-19
8983,688282,理工导航,4,2023-03-21,2023-04-19
8984,838262,太湖雪,3,2023-04-19,2023-04-19
8985,688282,理工导航,3,2023-03-20,2023-04-19
8986,002488,金固股份,2,2023-04-19,2023-04-19
8987,000338,潍柴动力,2,2023-04-18,2023-04-19
8988,000617,中油资本,2,2023-04-18,2023-04-19
8989,688282,理工导航,2,2023-04-06,2023-04-19
8990,688201,信安世纪,2,2023-03-06,2023-04-19
8991,000629,钒钛股份,1,2023-04-19,2023-04-19
8992,002008,大族激光,1,2023-04-19,2023-04-19
8993,002202,金风科技,1,2023-04-19,2023-04-19
8994,300007,汉威科技,1,2023-04-19,2023-04-19
8995,300025,华星创业,1,2023-04-19,2023-04-19
8996,300072,海新能科,1,2023-04-19,2023-04-19
8997,300536,农尚环境,1,2023-04-19,2023-04-19
8998,300699,光威复材,1,2023-04-19,2023-04-19
8999,600573,惠泉啤酒,1,2023-04-19,2023-04-19
9000,000715,中兴商业,1,2023-04-18,2023-04-19
9001,000970,中科三环,1,2023-04-18,2023-04-19
9002,002076,星光股份,1,2023-04-18,2023-04-19
9003,002229,鸿博股份,1,2023-04-18,2023-04-19
9004,002255,海陆重工,1,2023-04-18,2023-04-19
9005,002416,爱施德,1,2023-04-18,2023-04-19
9006,002449,国星光电,1,2023-04-18,2023-04-19
9007,002943,宇晶股份,1,2023-04-18,2023-04-19
9008,300026,红日药业,1,2023-04-18,2023-04-19
9009,300188,美亚柏科,1,2023-04-18,2023-04-19
9010,300231,银信科技,1,2023-04-18,2023-04-19
9011,300847,中船汉光,1,2023-04-18,2023-04-19
9012,300953,震裕科技,1,2023-04-18,2023-04-19
9013,300969,恒帅股份,1,2023-04-18,2023-04-19
9014,300997,欢乐家,1,2023-04-18,2023-04-19
9015,301153,中科江南,1,2023-04-18,2023-04-19
9016,301167,建研设计,1,2023-04-18,2023-04-19
9017,301237,和顺科技,1,2023-04-18,2023-04-19
9018,301327,华宝新能,1,2023-04-18,2023-04-19
9019,601231,环旭电子,1,2023-04-18,2023-04-19
9020,688217,睿昂基因,1,2023-04-18,2023-04-19
9021,688420,美腾科技,1,2023-04-18,2023-04-19
9022,688608,恒玄科技,1,2023-04-18,2023-04-19
9023,002534,西子洁能,1,2023-04-17,2023-04-19
9024,872190,雷神科技,1,2023-04-17,2023-04-19
9025,301265,华新环保,1,2023-04-14,2023-04-19
9026,688201,信安世纪,1,2023-03-15,2023-04-19
9027,688201,信安世纪,1,2023-03-08,2023-04-19
9028,300348,长亮科技,133,2023-04-17,2023-04-18
9029,603712,七一二,115,2023-04-13,2023-04-18
9030,300820,英杰电气,96,2023-04-14,2023-04-18
9031,300634,彩讯股份,78,2023-04-15,2023-04-18
9032,688375,国博电子,71,2023-04-14,2023-04-18
9033,605507,国邦医药,65,2023-04-17,2023-04-18
9034,002458,益生股份,56,2023-04-18,2023-04-18
9035,002270,华明装备,56,2023-04-14,2023-04-18
9036,601528,瑞丰银行,49,2023-04-12,2023-04-18
9037,300232,洲明科技,45,2023-04-17,2023-04-18
9038,002850,科达利,45,2023-04-16,2023-04-18
9039,000778,新兴铸管,39,2023-04-13,2023-04-18
9040,000539,粤电力A,33,2023-04-13,2023-04-18
9041,002191,劲嘉股份,32,2023-04-17,2023-04-18
9042,688193,仁度生物,31,2023-03-01,2023-04-18
9043,688580,伟思医疗,29,2023-03-01,2023-04-18
9044,002669,康达新材,21,2023-04-17,2023-04-18
9045,000778,新兴铸管,21,2023-04-12,2023-04-18
9046,300685,艾德生物,20,2023-04-17,2023-04-18
9047,002422,科伦药业,20,2023-04-14,2023-04-18
9048,002948,青岛银行,19,2023-04-14,2023-04-18
9049,003009,中天火箭,19,2023-04-14,2023-04-18
9050,600970,中材国际,13,2023-04-10,2023-04-18
9051,002947,恒铭达,12,2023-04-13,2023-04-18
9052,832023,田野股份,11,2023-04-14,2023-04-18
9053,601528,瑞丰银行,11,2023-04-11,2023-04-18
9054,300231,银信科技,9,2023-04-17,2023-04-18
9055,300244,迪安诊断,7,2023-04-17,2023-04-18
9056,601528,瑞丰银行,7,2023-03-30,2023-04-18
9057,000969,安泰科技,6,2023-04-17,2023-04-18
9058,601528,瑞丰银行,5,2023-03-31,2023-04-18
9059,300294,博雅生物,4,2023-04-17,2023-04-18
9060,301280,珠城科技,4,2023-04-17,2023-04-18
9061,000999,华润三九,4,2023-04-10,2023-04-18
9062,000811,冰轮环境,3,2023-04-18,2023-04-18
9063,000905,厦门港务,3,2023-04-14,2023-04-18
9064,002595,豪迈科技,2,2023-04-17,2023-04-18
9065,002012,凯恩股份,1,2023-04-18,2023-04-18
9066,002400,省广集团,1,2023-04-18,2023-04-18
9067,002802,洪汇新材,1,2023-04-18,2023-04-18
9068,002818,富森美,1,2023-04-18,2023-04-18
9069,002895,川恒股份,1,2023-04-18,2023-04-18
9070,300196,长海股份,1,2023-04-18,2023-04-18
9071,300614,百川畅银,1,2023-04-18,2023-04-18
9072,300621,维业股份,1,2023-04-18,2023-04-18
9073,300666,江丰电子,1,2023-04-18,2023-04-18
9074,300678,中科信息,1,2023-04-18,2023-04-18
9075,300705,九典制药,1,2023-04-18,2023-04-18
9076,300846,首都在线,1,2023-04-18,2023-04-18
9077,300910,瑞丰新材,1,2023-04-18,2023-04-18
9078,300945,曼卡龙,1,2023-04-18,2023-04-18
9079,300991,创益通,1,2023-04-18,2023-04-18
9080,301328,维峰电子,1,2023-04-18,2023-04-18
9081,600716,凤凰股份,1,2023-04-18,2023-04-18
9082,603090,宏盛股份,1,2023-04-18,2023-04-18
9083,603565,中谷物流,1,2023-04-18,2023-04-18
9084,605507,国邦医药,1,2023-04-18,2023-04-18
9085,000895,双汇发展,1,2023-04-17,2023-04-18
9086,000990,诚志股份,1,2023-04-17,2023-04-18
9087,002045,国光电器,1,2023-04-17,2023-04-18
9088,002065,东华软件,1,2023-04-17,2023-04-18
9089,002092,中泰化学,1,2023-04-17,2023-04-18
9090,002320,海峡股份,1,2023-04-17,2023-04-18
9091,300528,幸福蓝海,1,2023-04-17,2023-04-18
9092,301057,汇隆新材,1,2023-04-17,2023-04-18
9093,301153,中科江南,1,2023-04-17,2023-04-18
9094,000157,中联重科,1,2023-04-14,2023-04-18
9095,000538,云南白药,1,2023-04-14,2023-04-18
9096,836422,润普食品,1,2023-04-14,2023-04-18
9097,002398,垒知集团,1,2023-04-13,2023-04-18
9098,600894,广日股份,1,2023-04-13,2023-04-18
9099,002920,德赛西威,411,2023-04-14,2023-04-17
9100,000963,华东医药,283,2023-04-14,2023-04-17
9101,000661,长春高新,277,2023-04-17,2023-04-17
9102,688676,金盘科技,158,2023-03-22,2023-04-17
9103,688475,萤石网络,154,2023-04-15,2023-04-17
9104,001322,箭牌家居,137,2023-04-11,2023-04-17
9105,300024,机器人,82,2023-04-14,2023-04-17
9106,688083,中望软件,65,2023-03-02,2023-04-17
9107,300678,中科信息,57,2023-04-14,2023-04-17
9108,600096,云天化,51,2023-04-16,2023-04-17
9109,300579,数字认证,49,2023-04-14,2023-04-17
9110,002262,恩华药业,44,2023-04-14,2023-04-17
9111,002949,华阳国际,34,2023-04-14,2023-04-17
9112,603898,好莱客,28,2023-04-13,2023-04-17
9113,601609,金田股份,27,2023-03-01,2023-04-17
9114,000738,航发控制,25,2023-04-13,2023-04-17
9115,688106,金宏气体,24,2023-04-11,2023-04-17
9116,835179,凯德石英,23,2023-04-13,2023-04-17
9117,600477,杭萧钢构,22,2023-04-12,2023-04-17
9118,688190,云路股份,21,2023-04-13,2023-04-17
9119,300011,鼎汉技术,19,2023-04-13,2023-04-17
9120,300705,九典制药,17,2023-04-15,2023-04-17
9121,688004,博汇科技,13,2023-03-01,2023-04-17
9122,600572,康恩贝,11,2023-04-16,2023-04-17
9123,300453,三鑫医疗,11,2023-04-10,2023-04-17
9124,002139,拓邦股份,10,2023-04-12,2023-04-17
9125,002139,拓邦股份,7,2023-04-11,2023-04-17
9126,002463,沪电股份,5,2023-04-17,2023-04-17
9127,002139,拓邦股份,5,2023-04-13,2023-04-17
9128,000617,中油资本,4,2023-04-13,2023-04-17
9129,300700,岱勒新材,4,2023-04-13,2023-04-17
9130,688589,力合微,4,2023-04-04,2023-04-17
9131,000786,北新建材,3,2023-04-14,2023-04-17
9132,002139,拓邦股份,3,2023-04-14,2023-04-17
9133,002616,长青集团,3,2023-04-12,2023-04-17
9134,000811,冰轮环境,2,2023-04-17,2023-04-17
9135,000016,深康佳A,2,2023-04-14,2023-04-17
9136,000776,广发证券,2,2023-04-14,2023-04-17
9137,300785,值得买,2,2023-04-14,2023-04-17
9138,000776,广发证券,2,2023-04-13,2023-04-17
9139,000683,远兴能源,1,2023-04-17,2023-04-17
9140,002012,凯恩股份,1,2023-04-17,2023-04-17
9141,300845,捷安高科,1,2023-04-17,2023-04-17
9142,603508,思维列控,1,2023-04-17,2023-04-17
9143,603878,武进不锈,1,2023-04-17,2023-04-17
9144,000930,中粮科技,1,2023-04-15,2023-04-17
9145,000521,长虹美菱,1,2023-04-14,2023-04-17
9146,000590,启迪药业,1,2023-04-14,2023-04-17
9147,000800,一汽解放,1,2023-04-14,2023-04-17
9148,000933,神火股份,1,2023-04-14,2023-04-17
9149,002053,云南能投,1,2023-04-14,2023-04-17
9150,002060,粤水电,1,2023-04-14,2023-04-17
9151,002247,聚力文化,1,2023-04-14,2023-04-17
9152,002294,信立泰,1,2023-04-14,2023-04-17
9153,002480,新筑股份,1,2023-04-14,2023-04-17
9154,002577,雷柏科技,1,2023-04-14,2023-04-17
9155,002996,顺博合金,1,2023-04-14,2023-04-17
9156,300054,鼎龙股份,1,2023-04-14,2023-04-17
9157,300320,海达股份,1,2023-04-14,2023-04-17
9158,300363,博腾股份,1,2023-04-14,2023-04-17
9159,430476,海能技术,1,2023-04-14,2023-04-17
9160,605168,三人行,1,2023-04-14,2023-04-17
9161,832735,德源药业,1,2023-04-14,2023-04-17
9162,834770,艾能聚,1,2023-04-14,2023-04-17
9163,870866,绿亨科技,1,2023-04-14,2023-04-17
9164,873001,纬达光电,1,2023-04-14,2023-04-17
9165,300080,易成新能,1,2023-04-13,2023-04-17
9166,838402,硅烷科技,1,2023-04-13,2023-04-17
9167,688676,金盘科技,1,2023-02-28,2023-04-17
9168,002270,华明装备,54,2023-04-12,2023-04-16
9169,002644,佛慈制药,52,2023-04-15,2023-04-16
9170,002270,华明装备,4,2023-04-13,2023-04-16
9171,002149,西部材料,3,2023-04-13,2023-04-16
9172,002415,海康威视,415,2023-04-15,2023-04-15
9173,301328,维峰电子,80,2023-04-11,2023-04-15
9174,001203,大中矿业,15,2023-04-12,2023-04-15
9175,002003,伟星股份,2,2023-04-12,2023-04-15
9176,000880,潍柴重机,1,2023-04-14,2023-04-15
9177,300218,安利股份,1,2023-04-14,2023-04-15
9178,300586,美联新材,1,2023-04-14,2023-04-15
9179,300834,星辉环材,1,2023-04-14,2023-04-15
9180,300841,康华生物,1,2023-04-14,2023-04-15
9181,300633,开立医疗,425,2023-04-11,2023-04-14
9182,300820,英杰电气,252,2023-04-12,2023-04-14
9183,300832,新产业,215,2023-04-07,2023-04-14
9184,688232,新点软件,165,2023-04-13,2023-04-14
9185,002612,朗姿股份,138,2023-04-13,2023-04-14
9186,300226,上海钢联,93,2023-04-14,2023-04-14
9187,301308,江波龙,84,2023-04-12,2023-04-14
9188,002279,久其软件,72,2023-04-12,2023-04-14
9189,000048,京基智农,44,2023-04-13,2023-04-14
9190,600702,舍得酒业,44,2023-04-13,2023-04-14
9191,688363,华熙生物,32,2023-03-31,2023-04-14
9192,301312,智立方,29,2023-04-13,2023-04-14
9193,002987,京北方,27,2023-04-11,2023-04-14
9194,002611,东方精工,24,2023-04-13,2023-04-14
9195,300365,恒华科技,24,2023-04-13,2023-04-14
9196,002430,杭氧股份,21,2023-04-13,2023-04-14
9197,002315,焦点科技,19,2023-04-13,2023-04-14
9198,002967,广电计量,16,2023-04-12,2023-04-14
9199,002488,金固股份,14,2023-04-11,2023-04-14
9200,301095,广立微,14,2023-04-04,2023-04-14
9201,301029,怡合达,13,2023-04-13,2023-04-14
9202,002285,世联行,12,2023-04-12,2023-04-14
9203,301153,中科江南,12,2023-04-11,2023-04-14
9204,688139,海尔生物,11,2023-04-11,2023-04-14
9205,300070,碧水源,9,2023-04-13,2023-04-14
9206,603191,望变电气,9,2023-02-09,2023-04-14
9207,600196,复星医药,8,2022-11-01,2023-04-14
9208,002056,横店东磁,6,2023-04-11,2023-04-14
9209,002202,金风科技,6,2023-04-10,2023-04-14
9210,688047,龙芯中科,6,2023-03-01,2023-04-14
9211,002463,沪电股份,5,2023-04-14,2023-04-14
9212,002678,珠江钢琴,5,2023-04-13,2023-04-14
9213,688077,大地熊,4,2023-04-13,2023-04-14
9214,002152,广电运通,3,2023-04-13,2023-04-14
9215,002698,博实股份,3,2023-04-13,2023-04-14
9216,003013,地铁设计,3,2023-04-13,2023-04-14
9217,000776,广发证券,3,2023-04-12,2023-04-14
9218,300296,利亚德,3,2023-04-11,2023-04-14
9219,000811,冰轮环境,2,2023-04-14,2023-04-14
9220,002182,云海金属,2,2023-04-14,2023-04-14
9221,000524,岭南控股,2,2023-04-13,2023-04-14
9222,002254,泰和新材,2,2023-04-12,2023-04-14
9223,300057,万顺新材,2,2023-04-12,2023-04-14
9224,300157,恒泰艾普,2,2023-04-12,2023-04-14
9225,301317,鑫磊股份,2,2023-04-12,2023-04-14
9226,000548,湖南投资,1,2023-04-14,2023-04-14
9227,000550,江铃汽车,1,2023-04-14,2023-04-14
9228,000759,中百集团,1,2023-04-14,2023-04-14
9229,000938,紫光股份,1,2023-04-14,2023-04-14
9230,000973,佛塑科技,1,2023-04-14,2023-04-14
9231,002020,京新药业,1,2023-04-14,2023-04-14
9232,002062,宏润建设,1,2023-04-14,2023-04-14
9233,002187,广百股份,1,2023-04-14,2023-04-14
9234,002206,海利得,1,2023-04-14,2023-04-14
9235,002320,海峡股份,1,2023-04-14,2023-04-14
9236,002368,太极股份,1,2023-04-14,2023-04-14
